"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","zip_code","birth_year","birth_sex","gender_id","sexual_oriental","enrollment_status","Major","gpa_by_student","college_year","ethnicity","other_home_language","transfer","international_student","relationship_status","annual_household_income","personal_weekly_income","future_personal_annual_income","college_salary_greater","age"
2024,"Fall",24305488,2.433,79,"BA",10034,2003,"Male","Male","Homosexual (as in ""lesbian"" or ""gay"")","Full-time (12 credits or more)","Declared: Psychology",2.4,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Married",NA,"$200 or less","$150,001 to $299,999","40%-60%",23
2024,"Fall",24306434,3.685,124,"BS",11368,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",4,"2nd year undergraduate","Asian","No","No","No","Dating/In A Relationship","$150,001 to $299,999","$200 or less","$100,000 to $150,000","20%-40%",21
2024,"Fall",24307591,3.874,126,"BE",10452,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: B.e. Computer Engineering",3.8,"3rd year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","20%-40%",22
2024,"Fall",24307826,3.651,99,"BA",11215,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Sonic Arts, Jewish Studies",4,"2nd year undergraduate","Some other race, ethnicity or origin","No","Yes","No","Single","$150,001 to $299,999","$200 or less","$60,000 to $99,999","40%-60%",21
2024,"Fall",24314225,3.825,24,"BA",10472,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Sociology Or Bio",2.8,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Dating/In A Relationship",NA,"$200 or less","Less than 60,000","40%-60%",20
2024,"Fall",24314307,2.96,30,"BA",10456,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Economics",3,"1st year undergraduate","Black or African American","Yes","Yes","No","Single",NA,"Currently Unemployed","$150,001 to $299,999","40%-60%",20
2024,"Fall",24315404,4,120,"BS",11417,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",4,"2nd year undergraduate","Asian","Yes","No","No","Single","$60,000 to $99,999","$200 or less","Greater than $300,000","80%-100%",21
2024,"Fall",24318339,2.645,49,"BA",11223,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Middle Eastern or North African","Yes","Yes","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",20
2024,"Fall",24318397,3.107,74,"BS",11228,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.4,"1st year undergraduate","Middle Eastern or North African","Yes","Yes","No","Single",NA,"$200 or less","Greater than $300,000","20%-40%",20
2024,"Fall",24318406,2.789,66,"BA",11204,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Electrical Engineering",3.7,"1st year undergraduate","Some other race, ethnicity or origin","Yes","No","No","Single",NA,"$200 or less","Greater than $300,000","20%-40%",20
2024,"Fall",24318443,4,12,"BS",11204,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",0,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",20
2024,"Fall",24318954,3.645,64,"BE",10301,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Science",0,"1st year undergraduate","Asian","Yes","No","No","Single","$60,000 to $99,999","$200 or less","$100,000 to $150,000","20%-40%",21
2024,"Fall",24326473,3.716,81,"BA",10462,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Psychology",3.84,"2nd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","0%-20%",20
2024,"Fall",24326920,3.472,116,"BA",11377,2004,"Male","Male","Bisexual","Full-time (12 credits or more)","Declared: Psychology",3.285,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Single",NA,"$201-$400","$100,000 to $150,000","40%-60%",22
2024,"Fall",24327283,3.553,106,"BA",11374,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Public Relations/ Advertising",3.4,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Domestic partnership",NA,"$200 or less","$100,000 to $150,000","20%-40%",22
2024,"Fall",24332562,2.884,70,"BA",10459,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Political Science",3,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","60%-80%",22
2024,"Fall",24333258,2.727,95,"BA",10453,2003,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",2.49,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",23
2024,"Fall",24334822,3.433,100,"BA",11237,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Music Pop Studies",3.7,"3rd year undergraduate","Multiracial","No","Yes","No","Single",NA,"$200 or less","Greater than $300,000","40%-60%",22
2024,"Fall",24339573,3.249,123,"BS",10038,2024,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Computer Science",3.2,"3rd year undergraduate","Asian","Yes","No","No","Domestic partnership",NA,"$201-$400","Greater than $300,000","80%-100%",2
2024,"Fall",24342565,2.523,63,"AAS",10009,2006,"Male","Male","Uncertain/Questioning","Full-time (12 credits or more)","Undeclared: Education",3.7,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$150,001 to $299,999","20%-40%",20
