User Unique ID,Training Title,Training Locator Number,Training Start Date
c144bce0-eb48-4fb8-893f-04343d06abc2,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
7c1fc38c-9062-4aff-9ad6-f3e76734ccaa,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
7ed500aa-8bb4-4611-ba16-f9a7064931c0,Understanding and Undoing Implicit Bias (Virtual ILT),12404,3/15/22 9:15
c19a0e8a-0119-44e4-a408-ffdea762a02c,Understanding and Undoing Implicit Bias (Virtual ILT),12405,3/24/22 9:15
9277f4b6-d9ef-4230-afad-ba2aa23106bc,Understanding and Undoing Implicit Bias (Virtual ILT),12405,3/24/22 9:15
dc716179-0e44-4b0e-ba6a-cf19d16373b3,Understanding and Undoing Implicit Bias (Virtual ILT),12405,3/24/22 9:15
d20be5b2-7507-45ae-8ed8-66bd61981690,Understanding and Undoing Implicit Bias (Virtual ILT),12405,3/24/22 9:15
9eebb747-332f-4925-8a75-c55022b2746b,Understanding and Undoing Implicit Bias (Virtual ILT),12405,3/24/22 9:15
db0dfb92-7210-4238-8199-a235ea2b177c,Understanding and Undoing Implicit Bias (Virtual ILT),12405,3/24/22 9:15
8ca07da8-f0c8-491c-8ff7-3838e96755c8,Understanding and Undoing Implicit Bias (Virtual ILT),12406,3/29/22 9:15
80618c69-215f-461f-9a73-84d84c007946,Understanding and Undoing Implicit Bias (Virtual ILT),12406,3/29/22 9:15
b74230ca-4b1c-4b5c-bd77-ae03334e2c57,Understanding and Undoing Implicit Bias (Virtual ILT),12406,3/29/22 9:15
c67a6076-73ed-49e4-a61b-ff16df27440c,Understanding and Undoing Implicit Bias (Virtual ILT),12406,3/29/22 9:15
