emplid_ID,GPA,CREDITS,DEGREE
24413806,2.478,75,BA
24427836,3.902,74,BA
24514062,3.05,18,BA
24266217,2.633,68,BA
24414230,3.675,12,BA
24485361,2.09,43,BA
23979182,2.085,60,BA
24145758,2.238,64,BA
24063308,3.497,58,BA
24339096,1.77,21,BA
24277251,2.286,78,BA
23901652,3.11,145,BA/MA
24316982,2.25,9,BA
24434830,3.2,54,BA
24509531,3.98,88,BS
24177950,2.256,106,BA
24323049,2.069,42,BA
24368622,3.825,95,BA/MA
24190528,3.224,119,BSED
24159994,3.076,126,BA/MA
24019431,3.793,120,BA
24206724,3.151,121,BA
24164226,3.684,121,BA
24185849,2.897,83,BA
24271463,3.651,111,BA/MA
23918172,3.563,138,BA/MA
24354092,3.381,84,BA
24159173,3.667,122,BA
23812213,3.918,120,BA
24155283,3.014,121,BA
24162846,2.8,121,BS
24243440,3.635,111,BS
24019656,3.614,132,BA/MA
24276405,3.562,121,BA
23998101,3.402,130,BA/MA
24083173,2.759,123,BA
24295335,2.519,86,BA
15304902,3.868,124,BA
23742524,,,
24036436,3.891,122,BS
24138816,4,122,BA
24130332,3.412,122,BA
23501452,2.59,148,BS
23589849,3.031,120,BA
24108184,3.6,95,BA
24061877,2.238,83,BA
24190506,3.403,120,BA
23164108,2.34,127,BA
24406279,2.71,96,BA
24055457,3.668,127,BS
23956823,3.821,130,BA/MA
24177677,3.809,130,BA/MA
24416173,3.639,141,BS
24219923,3.485,135,BA/MA
24038946,3.035,123,BS
23944631,3.453,136,BA/MA
23835284,3.835,117,BA
24271217,3.783,120,BA
24195835,2.583,120,BA
24229148,3.574,102,BA
24206447,3.346,126,BA/MA
23920333,3.568,120,BA
24419686,1.97,65,BA
23917200,3.264,120,BS
24172138,2.708,44,BA
24187800,2.773,147,BA
24266856,3.794,116,BA
24167922,3.327,122,BA
24164421,3.05,109,BS
24042459,3.637,121,BA
23542338,2.981,120,BA
24107204,2.627,86,BA
24069127,3.502,125,BS
24459989,3.796,62,BA
24378063,3.593,80,BA
24298919,3.748,124,BA
23659703,2.847,123,BS
23749620,2.459,125,BA
23936292,3.344,127,BS
23918902,3.81,30,MS
24197548,3.276,120,BS
24453023,3.49,50,BA
24195841,3.33,125,BA
24279766,2.986,121,BS
24064678,3.461,139,BS
24300077,3.788,124,BA
24135785,4,116,BA
24135624,3.803,109,BA
24133341,3.696,156,BA
24114405,3.212,120,BS
24211957,3.89,120,BA
24108844,3.4,49,BA
24571979,3.365,39,BA
23961355,3.781,124,BA
24286544,3.652,118,BA
24159783,3.75,121,BA
24088873,3.014,122,BA
24449366,3.764,42,BS
24254148,3.068,126,BA
24035117,3.079,120,BA
24393206,2.972,81,BA
24366640,3.319,71,BA
24062359,3.85,6,MA
24426363,2.71,83,BA
24281158,3.696,124,BA
24298822,3.455,148,BS
24435256,3.304,69,BS
24403000,3.508,92,BA
24420074,1.846,33,BA
24406217,3.025,68,BA
24198814,3.572,131,BS
23838765,3.834,122,BS
24423705,2.815,82,BA
24181888,3.271,100,BA
24285294,3.141,60,BA
24163541,3.324,122,BA
24072781,3.293,123,BS
23980693,3.267,120,BS
24408079,3.484,89,BA/MA
24155392,2.39,43,BA
24316215,3.176,111,BA
24246043,3.488,51,BA
24331243,3.509,96,BBA
24134112,3.606,101,BA
24149952,2.51,127,BA
24169031,2.345,108,BA
24099058,3.232,154,BA
24192963,2.241,121,BA
24441996,3.517,134,BS
24407159,3.628,74,BA
24509397,2.882,43,BS
24032150,3.828,125,BA
24346245,3.363,122,BA
24298202,3.324,97,BA
23954109,2.425,94,BA
24292149,2.971,107,BA
24452008,2.825,36,BA
24434919,2.721,51,BBA
24236462,3.136,97,BARCH
24446696,3.909,63,BS
24073704,3.897,120,BA
24431043,3.166,18,BA
24291559,3.349,120,BA
24193446,2.907,105,BSED
24451466,3.877,103,BM
24415107,3.616,105,BA/MA
23239329,3.085,120,BA
24355014,3.764,118,BA
24317597,3.566,104,BA
23995113,3.271,124,BA
24346643,3.308,81,BE
24181965,2.798,96,BA
24133342,2.923,114,BARCH
24247760,3.2,100,BS
24172707,2.562,117,BA
24050595,3.57,120,BA
24330289,4,137,BS
24233261,,,
24089732,2.54,41,BA
24154597,3.695,119,BS
24453927,2.884,65,BA
24277702,3.118,87,BSED
24301517,3.702,98,BA/MA
23659691,3.24,120,BA
24312944,3.47,90,BA
24307886,3.925,24,BE
23058599,,,
24184730,3.846,121,BA
16119360,2.974,123,BA
24273715,2.847,125,BS
24282098,3.686,114,BA
24397982,2.54,51,BA
24462447,3.59,78,BARCH
24084829,1.741,124,BS
24370091,1.892,47,BA
24064219,3.665,129,BS
24303494,3.487,71,BFA
24222336,3.535,114,BS
24281314,3.028,50,BE
24368493,2.866,94,BS
23862456,3.408,124,BA
24094904,1.915,108,BA
24435809,2.511,27,BA
24071327,3.176,121,BA
24403632,1.754,39,BS
24447983,2.67,51,BA
24165838,2.132,61,BS
24300915,3.278,73,BA
24306891,2.623,48,BA
